Name,Country,City,Image
Angkor Wat,Cambodia,Siem Reap,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Ankor_Wat_temple.jpg/1200px-Ankor_Wat_temple.jpg
Great Barrier Reef,Australia,Cairns,https://cdn.britannica.com/64/155864-050-34FBD7A2/view-Great-Barrier-Reef-Australia-coast.jpg
Machu Picchu,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Machu_Picchu%2C_Peru.jpg/1200px-Machu_Picchu%2C_Peru.jpg
Great Wall of China,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/1200px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg
Taj Mahal,India,Agra,https://cdn.britannica.com/86/170586-050-AB7FEFAE/Taj-Mahal-Agra-India.jpg
Colosseum,Italy,Rome,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/1200px-Colosseo_2020.jpg
Alhambra,Spain,Granada,https://www.travelandleisure.com/thmb/3wf5cJtNM9ie_dAosvzk8u1ZqLQ=/1333x1000/smart/filters:no_upscale()/ALHAMBRA0117-73e53148f36748aca96a22a093af8a82.jpg
Aya Sofya (Hagia Sophia),Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/1200px-Hagia_Sophia_Mars_2013.jpg
Medina of Fez,Morroco,Fez,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/72/9b/97/caption.jpg?w=300&h=300&s=1
Petra,Jordan,Wadi Musa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Treasury_petra_crop.jpeg/1200px-Treasury_petra_crop.jpeg
British Museum,England,London,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/5c/4e.jpg
Sagrada Familia,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/2/26/%CE%A3%CE%B1%CE%B3%CF%81%CE%AC%CE%B4%CE%B1_%CE%A6%CE%B1%CE%BC%CE%AF%CE%BB%CE%B9%CE%B1_2941.jpg
Museum of Old and New Art,Australia,Hobart,https://countryroadsmagazine.com/downloads/7944/download/museum-of-old-and-new-art.jpg?cb=f77291913723660904cc725964101493&w=1300
Dubrovnik,Croatia,Dubrovnik,https://lp-cms-production.imgix.net/2021-06/shutterstockRF_662032261.jpg
Bagan,Myanmar,Bagan,https://cdn.theatlantic.com/media/img/photo/2019/07/bagan/b01_127437272-1/original.jpg
The Pyramids of Giza,Egypt,Cairo,https://cdn.mos.cms.futurecdn.net/YMa7Wx2FyjQFUjEeqa72Rm-1200-80.jpg
Piazza San Marco,Italy,Venice,https://www.ourescapeclause.com/wp-content/uploads/2021/08/shutterstock_1372373447-scaled.jpg
Acropolis of Athens,Greece,Athens,https://cdn.britannica.com/54/150954-050-F8D14782/Night-view-Parthenon-Athens.jpg
Versailles,France,Versailles,https://en.chateauversailles.fr/sites/default/files/styles/reseaux_sociaux/public/visuels_principaux/dddddddddg.jpg?itok=xmouhQgO
Marrakesh,Morocco,Marrakesh,https://cdn.thecrazytourist.com/wp-content/uploads/2019/12/ccimage-shutterstock_1390770566.jpg
Hanoi's Old Quarter,Vietnam,Hanoi,https://media-cdn.tripadvisor.com/media/photo-s/0e/f1/71/d9/the-old-quarter-houses.jpg
Charles Bridge,Czech Republic,Prague,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Charles_Bridge_-_Prague%2C_Czech_Republic_-_panoramio.jpg/800px-Charles_Bridge_-_Prague%2C_Czech_Republic_-_panoramio.jpg
Louvre Museum,France,Paris,"https://media.architecturaldigest.com/photos/5900cc370638dd3b70018b33/3:4/w_1547,h_2063,c_limit/Secrets%20of%20Louvre%201.jpg"
Eiffel Tower,France,Paris,"https://www.tripsavvy.com/thmb/gk7NEmDJuF1Uwg_9BFbCNu5gsms=/2624x3936/filters:fill(auto,1)/TAM_3402-08aeec8bf338425791ce0825cb205e9a.jpg"
Havana,Cuba,Havana,https://cdn.theculturetrip.com/wp-content/uploads/2021/10/havana-650x366.jpg
